"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-11-07 18:07:14 +01:00"

Year,"Country / territory of asylum/residence",Origin,"Refugees (incl. refugee-like situations)","Asylum-seekers (pending cases)","Returned refugees","Internally displaced persons (IDPs)","Returned IDPs","Stateless persons","Others of concern","Total Population"
1997,"United Kingdom","Syrian Arab Rep.",5,,,,,,,5
1997,Italy,"Syrian Arab Rep.",34,,,,,,,34
1997,Kazakhstan,"Syrian Arab Rep.",3,,,,,,,3
1997,Malta,"Syrian Arab Rep.",5,,,,,,,5
1997,Netherlands,"Syrian Arab Rep.",1636,,,,,,,1636
1997,Norway,"Syrian Arab Rep.",50,,,,,,,50
1997,Poland,"Syrian Arab Rep.",14,,,,,,,14
1997,Romania,"Syrian Arab Rep.",2,,,,,,,2
1997,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",1,,,,,,,1
1997,Sweden,"Syrian Arab Rep.",3165,,,,,,,3165
1998,Albania,"Syrian Arab Rep.",3,,,,,,,3
1998,Austria,"Syrian Arab Rep.",91,,,,,,,91
1998,Belgium,"Syrian Arab Rep.",105,,,,,,,105
1998,Bulgaria,"Syrian Arab Rep.",1,,,,,,,1
1998,Belarus,"Syrian Arab Rep.",,,,,,,1,1
1998,Switzerland,"Syrian Arab Rep.",59,,,,,,,59
1998,Cyprus,"Syrian Arab Rep.",5,,,,,,,5
1998,Denmark,"Syrian Arab Rep.",144,,,,,,,144
1998,Spain,"Syrian Arab Rep.",10,,,,,,,10
1998,Finland,"Syrian Arab Rep.",27,,,,,,,27
1998,France,"Syrian Arab Rep.",192,,,,,,,192
1998,"United Kingdom","Syrian Arab Rep.",5,,,,,,,5
1998,Italy,"Syrian Arab Rep.",28,,,,,,,28
1998,Kazakhstan,"Syrian Arab Rep.",3,,,,,,,3
1998,Malta,"Syrian Arab Rep.",1,,,,,,,1
1998,Netherlands,"Syrian Arab Rep.",1711,,,,,,,1711
1998,Norway,"Syrian Arab Rep.",71,,,,,,,71
1998,Poland,"Syrian Arab Rep.",14,,,,,,,14
1998,Romania,"Syrian Arab Rep.",8,,,,,,,8
1998,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",1,,,,,,,1
1998,Sweden,"Syrian Arab Rep.",3014,,,,,,,3014
1998,Ukraine,"Syrian Arab Rep.",23,,,,,,,23
1999,Austria,"Syrian Arab Rep.",85,,,,,,,85
1999,Belgium,"Syrian Arab Rep.",103,,,,,,,103
1999,Bulgaria,"Syrian Arab Rep.",2,,,,,,,2
1999,Switzerland,"Syrian Arab Rep.",109,,,,,,,109
1999,Cyprus,"Syrian Arab Rep.",15,,,,,,,15
1999,Denmark,"Syrian Arab Rep.",231,,,,,,,231
1999,Spain,"Syrian Arab Rep.",18,,,,,,,18
1999,Finland,"Syrian Arab Rep.",27,,,,,,,27
1999,France,"Syrian Arab Rep.",174,,,,,,,174
1999,"United Kingdom","Syrian Arab Rep.",5,,,,,,,5
1999,Hungary,"Syrian Arab Rep.",2,,,,,,,2
1999,Ireland,"Syrian Arab Rep.",2,,,,,,,2
1999,Italy,"Syrian Arab Rep.",21,,,,,,,21
1999,Kazakhstan,"Syrian Arab Rep.",3,,,,,,,3
1999,Malta,"Syrian Arab Rep.",1,,,,,,,1
1999,Netherlands,"Syrian Arab Rep.",1654,,,,,,,1654
1999,Norway,"Syrian Arab Rep.",120,,,,,,,120
1999,Poland,"Syrian Arab Rep.",14,,,,,,,14
1999,Romania,"Syrian Arab Rep.",14,,,,,,,14
1999,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",1,,,,,,,1
1999,Sweden,"Syrian Arab Rep.",2419,,,,,,,2419
1999,Ukraine,"Syrian Arab Rep.",29,,,,,,,29
2000,Austria,"Syrian Arab Rep.",85,,,,,,,85
2000,Azerbaijan,"Syrian Arab Rep.",1,,,,,,,1
2000,Belgium,"Syrian Arab Rep.",102,,,,,,,102
2000,Bulgaria,"Syrian Arab Rep.",11,25,,,,,,36
2000,Belarus,"Syrian Arab Rep.",,3,,,,,,3
2000,Belize,"Syrian Arab Rep.",,15,,,,,,15
2000,Switzerland,"Syrian Arab Rep.",137,152,,,,,,289
2000,Cyprus,"Syrian Arab Rep.",4,4,,,,,,8
2000,"Czech Rep.","Syrian Arab Rep.",,15,,,,,,15
2000,Germany,"Syrian Arab Rep.",,1046,,,,,,1046
2000,Denmark,"Syrian Arab Rep.",219,39,,,,,,258
2000,Spain,"Syrian Arab Rep.",18,,,,,,,18
2000,Finland,"Syrian Arab Rep.",26,,,,,,,26
2000,France,"Syrian Arab Rep.",148,,,,,,,148
2000,Greece,"Syrian Arab Rep.",30,3,,,,,,33
2000,Hungary,"Syrian Arab Rep.",8,8,,,,,,16
2000,Ireland,"Syrian Arab Rep.",2,,,,,,,2
2000,Iceland,"Syrian Arab Rep.",1,,,,,,,1
2000,Italy,"Syrian Arab Rep.",24,,,,,,,24
2000,Kazakhstan,"Syrian Arab Rep.",3,,,,,,,3
2000,Malta,"Syrian Arab Rep.",1,,,,,,,1
2000,Netherlands,"Syrian Arab Rep.",1618,1829,,,,,,3447
2000,Norway,"Syrian Arab Rep.",113,,,,,,,113
2000,Poland,"Syrian Arab Rep.",14,,,,,,,14
2000,Romania,"Syrian Arab Rep.",14,,,,,,,14
2000,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",1,1,,,,,,2
2000,Slovakia,"Syrian Arab Rep.",2,1,,,,,,3
2000,Sweden,"Syrian Arab Rep.",2028,,,,,,,2028
2000,Turkey,"Syrian Arab Rep.",1,2,,,,,,3
2000,Ukraine,"Syrian Arab Rep.",36,3,,,,,,39
2001,Austria,"Syrian Arab Rep.",79,,,,,,,79
2001,Azerbaijan,"Syrian Arab Rep.",1,1,,,,,,2
2001,Belgium,"Syrian Arab Rep.",47,,,,,,,47
2001,Bulgaria,"Syrian Arab Rep.",58,,,,,,,58
2001,"Bosnia and Herzegovina","Syrian Arab Rep.",,2,,,,,,2
2001,Belarus,"Syrian Arab Rep.",,3,,,,,,3
2001,Switzerland,"Syrian Arab Rep.",157,185,,,,,,342
2001,Cyprus,"Syrian Arab Rep.",4,26,,,,,,30
2001,"Czech Rep.","Syrian Arab Rep.",7,16,,,,,,23
2001,Germany,"Syrian Arab Rep.",,1152,,,,,,1152
2001,Denmark,"Syrian Arab Rep.",169,68,,,,,,237
2001,Spain,"Syrian Arab Rep.",20,,,,,,,20
2001,Estonia,"Syrian Arab Rep.",,4,,,,,,4
2001,Finland,"Syrian Arab Rep.",32,,,,,,,32
2001,France,"Syrian Arab Rep.",192,,,,,,,192
2001,Greece,"Syrian Arab Rep.",41,4,,,,,,45
2001,Hungary,"Syrian Arab Rep.",9,1,,,,,,10
2001,Ireland,"Syrian Arab Rep.",9,,,,,,,9
2001,Iceland,"Syrian Arab Rep.",1,,,,,,,1
2001,Italy,"Syrian Arab Rep.",22,,,,,,,22
2001,Kazakhstan,"Syrian Arab Rep.",1,,,,,,,1
2001,Malta,"Syrian Arab Rep.",1,1,,,,,,2
2001,Netherlands,"Syrian Arab Rep.",1518,1764,,,,,,3282
2001,Norway,"Syrian Arab Rep.",105,,,,,,,105
2001,Poland,"Syrian Arab Rep.",16,,,,,,,16
2001,Romania,"Syrian Arab Rep.",16,,,,,,,16
2001,"Serbia and Kosovo (S/RES/1244 (1999))","Syrian Arab Rep.",,1,,,,,,1
2001,Slovakia,"Syrian Arab Rep.",2,7,,,,,,9
2001,Sweden,"Syrian Arab Rep.",1268,,,,,,,1268
2001,Turkey,"Syrian Arab Rep.",6,2,,,,,,8
2001,Ukraine,"Syrian Arab Rep.",44,8,,,,,,52
2002,Austria,"Syrian Arab Rep.",61,,,,,,,61
2002,Azerbaijan,"Syrian Arab Rep.",1,,,,,,,1
2002,Belgium,"Syrian Arab Rep.",31,,,,,,,31
2002,Bulgaria,"Syrian Arab Rep.",61,,,,,,,61
2002,"Bosnia and Herzegovina","Syrian Arab Rep.",,1,,,,,,1
2002,Belarus,"Syrian Arab Rep.",,2,,,,,,2
2002,Switzerland,"Syrian Arab Rep.",180,254,,,,,,434
2002,Cyprus,"Syrian Arab Rep.",7,20,,,,,,27
2002,"Czech Rep.","Syrian Arab Rep.",10,7,,,,,,17
2002,Germany,"Syrian Arab Rep.",14398,1279,,,,,,15677
2002,Denmark,"Syrian Arab Rep.",180,49,,,,,,229
2002,Spain,"Syrian Arab Rep.",20,,,,,,,20
2002,Finland,"Syrian Arab Rep.",25,,,,,,,25
2002,France,"Syrian Arab Rep.",207,,,,,,,207
2002,Greece,"Syrian Arab Rep.",55,4,,,,,,59
2002,Hungary,"Syrian Arab Rep.",10,10,,,,,,20
2002,Ireland,"Syrian Arab Rep.",13,,,,,,,13
2002,Iceland,"Syrian Arab Rep.",1,,,,,,,1
2002,Italy,"Syrian Arab Rep.",36,,,,,,,36
2002,Malta,"Syrian Arab Rep.",4,,,,,,,4
2002,Netherlands,"Syrian Arab Rep.",1454,1256,,,,,,2710
2002,Norway,"Syrian Arab Rep.",107,,,,,,,107
2002,Poland,"Syrian Arab Rep.",16,1,,,,,,17
2002,Romania,"Syrian Arab Rep.",16,3,,,,,,19
2002,Slovakia,"Syrian Arab Rep.",,5,,,,,,5
2002,Sweden,"Syrian Arab Rep.",970,871,,,,,,1841
2002,Turkey,"Syrian Arab Rep.",6,5,,,,,,11
2002,Ukraine,"Syrian Arab Rep.",45,,,,,,,45
2003,Armenia,"Syrian Arab Rep.",,3,,,,,,3
2003,Austria,"Syrian Arab Rep.",61,,,,,,,61
2003,Azerbaijan,"Syrian Arab Rep.",1,,,,,,,1
2003,Belgium,"Syrian Arab Rep.",19,170,,,,,,189
2003,Bulgaria,"Syrian Arab Rep.",65,,,,,,,65
2003,"Bosnia and Herzegovina","Syrian Arab Rep.",1,1,,,,,,2
2003,Belarus,"Syrian Arab Rep.",,2,,,,,,2
2003,Switzerland,"Syrian Arab Rep.",178,135,,,,,,313
2003,Cyprus,"Syrian Arab Rep.",13,44,,,,,,57
2003,"Czech Rep.","Syrian Arab Rep.",14,3,,,,,,17
2003,Germany,"Syrian Arab Rep.",15745,703,,,,,,16448
2003,Denmark,"Syrian Arab Rep.",172,28,,,,,,200
2003,Spain,"Syrian Arab Rep.",15,,,,,,,15
2003,Finland,"Syrian Arab Rep.",34,,,,,,,34
2003,France,"Syrian Arab Rep.",191,,,,,,,191
2003,"United Kingdom","Syrian Arab Rep.",16,,,,,,,16
2003,Greece,"Syrian Arab Rep.",55,12,,,,,,67
2003,Hungary,"Syrian Arab Rep.",17,12,,,,,,29
2003,Ireland,"Syrian Arab Rep.",15,16,,,,,,31
2003,Iceland,"Syrian Arab Rep.",1,,,,,,,1
2003,Italy,"Syrian Arab Rep.",35,,,,,,,35
2003,Malta,"Syrian Arab Rep.",7,,,,,,,7
2003,Netherlands,"Syrian Arab Rep.",1479,840,,,,,,2319
2003,Norway,"Syrian Arab Rep.",93,,,,,,,93
2003,Poland,"Syrian Arab Rep.",16,3,,,,,,19
2003,Romania,"Syrian Arab Rep.",21,4,,,,,,25
2003,Slovakia,"Syrian Arab Rep.",,43,,,,,,43
2003,Sweden,"Syrian Arab Rep.",1048,886,,,,,,1934
2003,Turkey,"Syrian Arab Rep.",3,5,,,,,,8
2003,Ukraine,"Syrian Arab Rep.",42,24,,,,,,66
2004,Austria,"Syrian Arab Rep.",75,,,,,,,75
2004,Azerbaijan,"Syrian Arab Rep.",2,,,,,,,2
2004,Belgium,"Syrian Arab Rep.",80,253,,,,,,333
2004,Bulgaria,"Syrian Arab Rep.",72,2,,,,,,74
2004,"Bosnia and Herzegovina","Syrian Arab Rep.",1,1,,,,,,2
2004,Belarus,"Syrian Arab Rep.",,3,,,,,,3
2004,Switzerland,"Syrian Arab Rep.",179,106,,,,,,285
2004,Cyprus,"Syrian Arab Rep.",26,532,,,,,,558
2004,"Czech Rep.","Syrian Arab Rep.",14,,,,,,,14
2004,Germany,"Syrian Arab Rep.",16184,475,,,,,,16659
2004,Denmark,"Syrian Arab Rep.",177,18,,,,,,195
2004,Spain,"Syrian Arab Rep.",21,,,,,,,21
2004,Finland,"Syrian Arab Rep.",40,,,,,,,40
2004,France,"Syrian Arab Rep.",205,,,,,,,205
2004,"United Kingdom","Syrian Arab Rep.",44,,,,,,,44
2004,Greece,"Syrian Arab Rep.",50,28,,,,,,78
2004,Hungary,"Syrian Arab Rep.",29,4,,,,,,33
2004,Ireland,"Syrian Arab Rep.",21,18,,,,,,39
2004,Iceland,"Syrian Arab Rep.",1,,,,,,,1
2004,Italy,"Syrian Arab Rep.",41,,,,,,,41
2004,Malta,"Syrian Arab Rep.",10,2,,,,,,12
2004,Netherlands,"Syrian Arab Rep.",1588,549,,,,,,2137
2004,Norway,"Syrian Arab Rep.",132,,,,,,,132
2004,Poland,"Syrian Arab Rep.",4,5,,,,,,9
2004,Romania,"Syrian Arab Rep.",21,5,,,,,,26
2004,Slovakia,"Syrian Arab Rep.",,16,,,,,,16
2004,Sweden,"Syrian Arab Rep.",940,606,,,,,,1546
2004,Turkey,"Syrian Arab Rep.",,14,,,,,,14
2004,Ukraine,"Syrian Arab Rep.",40,43,,,,,,83
2005,Austria,"Syrian Arab Rep.",122,,,,,,,122
2005,Azerbaijan,"Syrian Arab Rep.",1,2,,,,,,3
2005,Belgium,"Syrian Arab Rep.",115,409,,,,,,524
2005,Bulgaria,"Syrian Arab Rep.",78,,,,,,,78
2005,"Bosnia and Herzegovina","Syrian Arab Rep.",1,,,,,,,1
2005,Belarus,"Syrian Arab Rep.",,1,,,,,,1
2005,Switzerland,"Syrian Arab Rep.",294,91,,,,,,385
2005,Cyprus,"Syrian Arab Rep.",42,1535,,,,,,1577
2005,"Czech Rep.","Syrian Arab Rep.",13,12,,,,,,25
2005,Germany,"Syrian Arab Rep.",10469,2888,,,,,,13357
2005,Denmark,"Syrian Arab Rep.",188,12,,,,,,200
2005,Spain,"Syrian Arab Rep.",21,,,,,,,21
2005,Finland,"Syrian Arab Rep.",39,,,,,,,39
2005,France,"Syrian Arab Rep.",213,,,,,,,213
2005,"United Kingdom","Syrian Arab Rep.",208,,,,,,,208
2005,Greece,"Syrian Arab Rep.",49,29,,,,,,78
2005,Hungary,"Syrian Arab Rep.",44,5,,,,,,49
2005,Ireland,"Syrian Arab Rep.",27,,,,,,,27
2005,Iceland,"Syrian Arab Rep.",1,,,,,,,1
2005,Italy,"Syrian Arab Rep.",47,,,,,,,47
2005,Malta,"Syrian Arab Rep.",8,6,,,,,,14
2005,Netherlands,"Syrian Arab Rep.",1674,336,,,,,,2010
2005,Norway,"Syrian Arab Rep.",144,,,,,,,144
2005,Poland,"Syrian Arab Rep.",6,7,,,,,,13
2005,Romania,"Syrian Arab Rep.",24,3,,,,,,27
2005,Slovakia,"Syrian Arab Rep.",,10,,,,,,10
2005,Sweden,"Syrian Arab Rep.",1032,367,,,,,,1399
2005,Turkey,"Syrian Arab Rep.",12,7,,,,,,19
2005,Ukraine,"Syrian Arab Rep.",39,41,,,,,,80
2006,Armenia,"Syrian Arab Rep.",,2,,,,,,2
2006,Austria,"Syrian Arab Rep.",167,290,,,,,,457
2006,Azerbaijan,"Syrian Arab Rep.",1,,,,,,,1
2006,Belgium,"Syrian Arab Rep.",100,153,,,,,,253
2006,Bulgaria,"Syrian Arab Rep.",79,,,,,,,79
2006,"Bosnia and Herzegovina","Syrian Arab Rep.",1,,,,,,,1
2006,Switzerland,"Syrian Arab Rep.",388,117,,,,,,505
2006,Cyprus,"Syrian Arab Rep.",50,2461,,,,,,2511
2006,"Czech Rep.","Syrian Arab Rep.",14,31,,,,,,45
2006,Germany,"Syrian Arab Rep.",5845,2117,,,,,,7962
2006,Denmark,"Syrian Arab Rep.",213,11,,,,,,224
2006,Spain,"Syrian Arab Rep.",21,,,,,,,21
2006,Finland,"Syrian Arab Rep.",42,12,,,,,,54
2006,France,"Syrian Arab Rep.",216,,,,,,,216
2006,"United Kingdom","Syrian Arab Rep.",286,,,,,,,286
2006,Greece,"Syrian Arab Rep.",50,11,,,,,,61
2006,Hungary,"Syrian Arab Rep.",46,14,,,,,,60
2006,Ireland,"Syrian Arab Rep.",29,12,,,,,,41
2006,Iceland,"Syrian Arab Rep.",1,,,,,,,1
2006,Italy,"Syrian Arab Rep.",62,,,,,,,62
2006,Malta,"Syrian Arab Rep.",11,,,,,,,11
2006,Netherlands,"Syrian Arab Rep.",1559,362,,,,,,1921
2006,Norway,"Syrian Arab Rep.",146,82,,,,,,228
2006,Poland,"Syrian Arab Rep.",7,2,,,,,,9
2006,Romania,"Syrian Arab Rep.",28,8,,,,,,36
2006,Slovakia,"Syrian Arab Rep.",,10,,,,,,10
2006,Sweden,"Syrian Arab Rep.",1065,462,,,,,,1527
2006,Turkey,"Syrian Arab Rep.",2,5,,,,,,7
2006,Ukraine,"Syrian Arab Rep.",37,34,,,,,,71
2007,Armenia,"Syrian Arab Rep.",,2,,,,,,2
2007,Austria,"Syrian Arab Rep.",255,326,,,,,,581
2007,Azerbaijan,"Syrian Arab Rep.",1,,,,,,,1
2007,Belgium,"Syrian Arab Rep.",114,0,,,,,,114
2007,Bulgaria,"Syrian Arab Rep.",85,0,,,,,,85
2007,"Bosnia and Herzegovina","Syrian Arab Rep.",1,1,,,,,,2
2007,Switzerland,"Syrian Arab Rep.",430,299,,,,,,729
2007,Cyprus,"Syrian Arab Rep.",65,2262,,,,,,2327
2007,"Czech Rep.","Syrian Arab Rep.",15,18,,,,,,33
2007,Germany,"Syrian Arab Rep.",6996,1414,,,,,,8410
2007,Denmark,"Syrian Arab Rep.",218,43,,,,,,261
2007,Spain,"Syrian Arab Rep.",21,0,,,,,,21
2007,Finland,"Syrian Arab Rep.",46,5,,,,,,51
2007,France,"Syrian Arab Rep.",217,0,,,,,,217
2007,"United Kingdom","Syrian Arab Rep.",364,0,,,,,,364
2007,Greece,"Syrian Arab Rep.",47,392,,,,,,439
2007,Hungary,"Syrian Arab Rep.",42,26,,,,,,68
2007,Ireland,"Syrian Arab Rep.",34,13,,,,,,47
2007,Iceland,"Syrian Arab Rep.",1,1,,,,,,2
2007,Italy,"Syrian Arab Rep.",84,0,,,,,,84
2007,Malta,"Syrian Arab Rep.",11,0,,,,,,11
2007,Netherlands,"Syrian Arab Rep.",1421,0,,,,,,1421
2007,Norway,"Syrian Arab Rep.",149,86,,,,,,235
2007,Poland,"Syrian Arab Rep.",8,4,,,,,,12
2007,Romania,"Syrian Arab Rep.",29,3,,,,,,32
2007,"Russian Federation","Syrian Arab Rep.",1,,,,,,,1
2007,Slovakia,"Syrian Arab Rep.",13,1,,,,,,14
2007,Sweden,"Syrian Arab Rep.",1081,544,,,,,,1625
2007,Turkey,"Syrian Arab Rep.",5,19,,,,,,24
2007,Ukraine,"Syrian Arab Rep.",36,29,,,,,,65
2008,Austria,"Syrian Arab Rep.",333,357,,,,,,690
2008,Belgium,"Syrian Arab Rep.",152,0,,,,,,152
2008,Bulgaria,"Syrian Arab Rep.",86,4,,,,,,90
2008,"Bosnia and Herzegovina","Syrian Arab Rep.",1,1,,,,,,2
2008,Switzerland,"Syrian Arab Rep.",626,575,,,,,,1201
2008,Cyprus,"Syrian Arab Rep.",70,1010,,,,,,1080
2008,"Czech Rep.","Syrian Arab Rep.",16,38,,,,,,54
2008,Germany,"Syrian Arab Rep.",8205,1418,,,,,,9623
2008,Denmark,"Syrian Arab Rep.",272,30,,,,,,302
2008,Spain,"Syrian Arab Rep.",34,0,,,,,,34
2008,Finland,"Syrian Arab Rep.",50,15,,,,,,65
2008,France,"Syrian Arab Rep.",233,0,,,,,,233
2008,"United Kingdom","Syrian Arab Rep.",395,0,,,,,,395
2008,Greece,"Syrian Arab Rep.",39,127,,,,,,166
2008,Hungary,"Syrian Arab Rep.",44,31,,,,,,75
2008,Ireland,"Syrian Arab Rep.",36,16,,,,,,52
2008,Iceland,"Syrian Arab Rep.",1,2,,,,,,3
2008,Italy,"Syrian Arab Rep.",110,0,,,,,,110
2008,Latvia,"Syrian Arab Rep.",,3,,,,,,3
2008,Malta,"Syrian Arab Rep.",11,0,,,,,,11
2008,Netherlands,"Syrian Arab Rep.",1326,0,,,,,,1326
2008,Norway,"Syrian Arab Rep.",154,122,,,,,,276
2008,Poland,"Syrian Arab Rep.",8,4,,,,,,12
2008,Romania,"Syrian Arab Rep.",25,6,,,,,,31
2008,"Russian Federation","Syrian Arab Rep.",2,4,,,,,,6
2008,Slovakia,"Syrian Arab Rep.",14,0,,,,,,14
2008,Sweden,"Syrian Arab Rep.",1084,617,,,,,,1701
2008,Turkey,"Syrian Arab Rep.",12,21,,,,,,33
2008,Ukraine,"Syrian Arab Rep.",39,47,,,,,,86
2009,Austria,"Syrian Arab Rep.",385,495,,,,,,880
2009,Belgium,"Syrian Arab Rep.",177,0,,,,,,177
2009,Bulgaria,"Syrian Arab Rep.",90,10,,,,,,100
2009,"Bosnia and Herzegovina","Syrian Arab Rep.",1,2,,,,,,3
2009,Switzerland,"Syrian Arab Rep.",661,723,,,,,,1384
2009,Cyprus,"Syrian Arab Rep.",95,404,,,,,,499
2009,"Czech Rep.","Syrian Arab Rep.",15,56,,,,,,71
2009,Germany,"Syrian Arab Rep.",10217,1811,,,,,,12028
2009,Denmark,"Syrian Arab Rep.",392,152,,,,,,544
2009,Spain,"Syrian Arab Rep.",33,0,,,,,,33
2009,Finland,"Syrian Arab Rep.",52,31,,,,,,83
2009,France,"Syrian Arab Rep.",244,0,,,,,,244
2009,"United Kingdom","Syrian Arab Rep.",460,0,,,,,,460
2009,Greece,"Syrian Arab Rep.",19,0,,,,,,19
2009,Hungary,"Syrian Arab Rep.",43,3,,,,,,46
2009,Ireland,"Syrian Arab Rep.",34,6,,,,,,40
2009,Iceland,"Syrian Arab Rep.",1,0,,,,,,1
2009,Italy,"Syrian Arab Rep.",190,0,,,,,,190
2009,Malta,"Syrian Arab Rep.",18,7,,,,,,25
2009,Netherlands,"Syrian Arab Rep.",1254,98,,,,,,1352
2009,Norway,"Syrian Arab Rep.",152,297,,,,,,449
2009,Poland,"Syrian Arab Rep.",8,3,,,,,,11
2009,Romania,"Syrian Arab Rep.",19,11,,,,,,30
